Artist Name,Artist ID,Artist_Popularity,Artist_Followers,Artist Genre
Woody Guthrie,4rAgFKtlTr66ic18YZZyF1,48.0,109857.0,"american folk revival,appalachian folk,folk,old-time,singer-songwriter,traditional blues,traditional folk"
Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,53.0,399180.0,"acoustic blues,blues,blues rock,delta blues,traditional blues"
Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,56.0,178573.0,"adult standards,brill building pop,rock-and-roll,rockabilly"
Chick Corea,5olDKSsFhhmwh8UCWwKtpq,56.0,190249.0,"bebop,contemporary jazz,contemporary post-bop,cool jazz,ecm-style jazz,jazz,jazz funk,jazz fusion,jazz piano"
The Shangri-La's,1WvziZcLLYLoMMdmQx7qcN,49.0,70760.0,"brill building pop,classic girl group"
Cecil Taylor,5jtGuhEEDh07yaFfm8qHg7,25.0,17618.0,"avant-garde,avant-garde jazz,bebop,contemporary post-bop,cool jazz,free improvisation,free jazz,hard bop,jazz,jazz piano"
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,77.0,1097916.0,"classic country pop,country,country dawn"
Sun Ra,0tIODqvzGUoEaK26rK4pvX,49.0,98749.0,"afrobeat,afrofuturism,art rock,avant-garde jazz,experimental,free improvisation,free jazz,jazz funk,spiritual jazz"
Tori Amos,1KsASRNugxU85T0u6zSg32,60.0,467415.0,"art pop,ectofolk,folk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter"
Big Joe Turner,1DTgcOxytJHD8p17mhSgd7,43.0,25741.0,"blues,boogie-woogie,jump blues,rhythm and blues,rock-and-roll,rockabilly,traditional blues"
The Rapture,166Dz1GX3xonSQ3Z6CQW26,53.0,196861.0,"alternative dance,dance-punk,electronica,indie rock,indietronica,modern rock,new rave"
Wilson Pickett,0N5PyKJzS3M1XNlaCL7bbE,62.0,383453.0,"brill building pop,classic soul,folk rock,funk,memphis soul,motown,rock-and-roll,soul,southern soul"
The Shins,4LG4Bs1Gadht7TCrMytQUO,67.0,953682.0,"albuquerque indie,alternative rock,indie folk,indie pop,indie rock,modern rock,portland indie,rock,stomp and holler"
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,81.0,7610408.0,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
2Pac,1ZwdS5xdxEREPySFridCfh,84.0,8441399.0,"g funk,gangster rap,hip hop,rap,west coast rap"
Bloc Party,3MM8mtgFzaEJsqbjZBSsHJ,65.0,832165.0,"alternative dance,alternative rock,dance-punk,indie pop,indie rock,indietronica,modern rock,new rave,rock"
ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,73.0,2492329.0,"album rock,blues rock,classic rock,country rock,hard rock,rock"
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,72.0,1566973.0,"dance rock,new romantic,new wave,new wave pop,rock,synthpop"
Tortoise,3WggbHDpj4rPKbL97zG5MQ,44.0,87341.0,"chicago indie,experimental,experimental rock,freak folk,indie rock,post-rock,slow core"
